id,section,type,severity,remediation_risk,rr_axis,title,status,affected_area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260710-194844-S1-BUG1,1,BUG,Medium,Low,-,Version not bumped for unreleased v1.2.0 feature set,identified,packaging/release,"pyproject.toml:7 & vistab.py:93 = 1.1.3; CHANGELOG [Unreleased] + TODO.md say Colspan Completed in v1.2.0",Release ships as 1.1.3 while containing a feature-level (colspan/CLI subcommands) changeset; users cannot pin the new features by version,Bump version to 1.2.0 and move CHANGELOG [Unreleased] to [1.2.0] as a release prerequisite,no,"pyproject.toml, src/vistab.py, CHANGELOG.md",n/a,Decide+bump in S6/S7
20260710-194844-S1-Q1,1,Q,Low,Medium,complexity,Extensive LSP/type-hint inaccuracies in src/vistab.py,identified,maintainability,"~100+ pyright/LSP errors: draw()->Optional[str] used where str expected, wcwidth param-name mismatch, Optional bool defaults","Runtime-harmless (101 tests pass) but noisy for contributors using type-aware editors",Assess in S2; targeted hint corrections only if low-risk,no,src/vistab.py,pytest green,Assess S2
20260710-194844-S2-S1,2,S,Low,Low,-,Secrets/PII scan: 290 low-severity heuristic hits all false positives,completed,security,"scan_secrets.py + gitleaks: 290 low hits all high-entropy-string on README GitHub asset URLs/paths; category secret(275)/pii(15); no High/Blocker; gitleaks (mature) clean","No real secrets/PII — expected for a no-auth/no-network rendering lib",No action; keep .gitleaksignore baseline; consider CI secret-scan (S6),no,secrets-scan.json,gitleaks+builtin,Note in report
20260710-194844-S2-MEM1,2,MEM,Low,Low,-,Resource handling clean; stream() memoryless; sort+stream guarded,not_applicable,memory/resource,"All file opens use `with`; only lru_cache is bounded (maxsize=8192); stream() samples N then yields; --sort-by+--stream explicitly errors (vistab.py:3797) rather than silently buffering",No leak/unbounded-growth/live-integrity defect found,No action,no,src/vistab.py,code trace,none
20260710-194844-S3-T1,3,T,Low,Low,-,Colspan width-distribution untested,identified,tests,"_compute_cols_width divmod deficit-spread across covered columns has no test asserting the covered columns widen/sum correctly for a wide spanned value",A future refactor could silently break span width distribution with no failing test,Add a test: wide spanned value distributes width across covered cols and block width>=content,no,tests/test_vistab.py,pytest,Add in S7
20260710-194844-S3-T2,3,T,Low,Low,-,Colspan styling parity across a span untested,identified,tests,"set_col_style/set_cell_style/alternating(zebra) applied to a spanned block has no test asserting the span adopts source-column style",Silent styling drift on spans possible under refactor,Add a test asserting span block uses source column style,no,tests/test_vistab.py,pytest,Add in S7
20260710-194844-S3-T3,3,T,Low,Low,-,Colspan interactions (max_cols clip / stream / multi-span) untested,identified,tests,"No test for: a span crossing the max_cols boundary (colspan capped); colspan through stream(); multiple spans in one row",Edge behaviors work but unpinned,Add targeted tests for max_cols-clip and multi-span; stream+span optional,no,"tests/test_vistab.py, tests/test_streaming.py",pytest,Add in S7
20260710-194844-S4-D1,4,D,Low,Low,-,Docs accurate post documentation-IPD; no stale claims found,completed,docs,"docs/API.md version-agnostic; README intent clear; CLI verb+flag commands in docs all run; apply_theme documented as deprecated alias; colspan/combine/has_header behavior matches code",Docs reflect current behavior,No doc-accuracy action needed,no,"README.md, docs/API.md, docs/CLI.md, FUNCTIONAL_SPEC.md",spot-checked commands,none
20260710-194844-S4-KD1,4,KD,Low,Low,-,No ARCHITECTURE/DECISIONS doc; cold-start relies on FUNCTIONAL_SPEC + executed IPDs,identified,docs/cold-start,"No ARCHITECTURE.md/DECISIONS.md. FUNCTIONAL_SPEC.md (13 sections) covers architecture/data-models/config/validation/security well; decision rationale lives in .agents/plans/executed/ (10 IPDs) which is a framework dir a casual reader may not find",A no-context engineer can mostly orient (README+SPEC) but architecture/decision rationale is not in an obvious project-owned doc,Add a short ARCHITECTURE.md (or a 'Design & Decisions' pointer) summarizing the single-module structure + linking SPEC and executed decisions,no,new ARCHITECTURE.md,n/a,Consider in S7
20260710-194844-S5-GP1,5,GP,Low,Low,-,Adheres to fallback principles; no violations,completed,principles,"Per-principle assessment strong/adequate across intuitive/general-case/KISS/honest-docs; see guiding-principles-assessment.md",No principle violation,Optional short GUIDING_PRINCIPLES.md (low value),no,-,n/a,none
20260710-194844-S5-M1,5,M,Low,Medium-High,complexity,Single 4059-line module (natural, not required split),identified,maintainability,"src/vistab.py is one large module; cohesive but large for contributors",Onboarding friction for new contributors; no functional impact,Do NOT split for this release — a module split is a broad refactor (Medium-High complexity/functionality risk) with no release need,no,src/vistab.py,n/a,Defer (RR complexity)
20260710-194844-S5-U1,5,U,Low,Low,-,Usability strong; no manual-required basic task,completed,usability,"CLI verbs+help+error tips self-documenting; API fluent+descriptive; first-run success from README",Meets learn-as-you-go bar,No action,no,-,n/a,none
